cgpa,aptitude,communication,projects,internships,placement
8.5,85,80,3,1,1
6.2,60,65,1,0,0
8.9,92,90,4,2,1
7.1,65,70,2,0,1
6.5,58,60,1,0,0
8.2,80,78,3,1,1
7.8,75,72,2,1,1
5.9,50,55,0,0,0
9.1,94,92,5,2,1
6.8,62,65,1,0,0
8.7,88,85,4,2,1
7.4,70,73,2,1,1
6.0,52,58,1,0,0
8.0,79,77,3,1,1
7.0,64,68,1,0,0
7.6,72,75,2,1,1
6.3,55,62,1,0,0
8.4,83,81,3,1,1
6.7,61,64,1,0,0
8.8,90,88,4,2,1
7.2,68,71,2,0,1
6.1,54,59,0,0,0
8.1,78,80,3,1,1
7.7,74,76,2,1,1
5.8,48,52,0,0,0
9.0,93,91,5,2,1
6.9,63,67,1,0,0
8.6,87,84,4,1,1
7.3,69,72,2,1,1
6.4,57,61,1,0,0
8.3,82,79,3,1,1
7.9,76,78,3,1,1
5.7,46,50,0,0,0
9.2,95,94,5,2,1
6.6,59,63,1,0,0
8.0,77,76,2,1,1
7.5,71,74,2,1,1
6.2,53,57,1,0,0
8.8,89,87,4,2,1
7.0,66,69,2,0,1
5.6,45,49,0,0,0
9.1,91,93,5,2,1
6.8,60,66,1,0,0
8.5,84,82,3,1,1
7.6,73,75,2,1,1
6.0,51,56,0,0,0
8.7,86,85,4,2,1
7.1,67,70,1,1,1
6.5,56,60,1,0,0
8.2,81,79,3,1,1
7.8,76,74,2,1,1
5.9,49,54,0,0,0
9.0,92,90,4,2,1
6.7,58,62,1,0,0
8.4,80,83,3,1,1
7.3,70,71,2,1,1
6.1,52,55,0,0,0
8.9,88,89,4,2,1
7.7,75,77,3,1,1
6.4,57,59,1,0,0
8.1,79,78,3,1,1
7.2,66,73,2,0,1
5.8,47,51,0,0,0
9.2,94,93,5,2,1
6.9,62,65,1,0,0
8.6,85,86,4,2,1
7.4,72,74,2,1,1
6.3,55,60,1,0,0
8.3,83,81,3,1,1
7.9,77,79,3,1,1
5.7,44,48,0,0,0
9.1,93,92,5,2,1
6.6,61,64,1,0,0
8.5,82,84,3,1,1
7.5,71,73,2,1,1
6.0,50,57,0,0,0
8.8,90,86,4,2,1
7.0,65,68,1,0,0
6.8,64,66,2,0,1
8.0,78,79,3,1,1
7.6,74,76,2,1,1
5.5,43,47,0,0,0
9.3,96,95,5,2,1
6.5,59,61,1,0,0
8.4,81,82,3,1,1
7.3,69,74,2,1,1
6.2,54,58,1,0,0
8.7,87,88,4,2,1
7.8,73,77,3,1,1
5.9,48,53,0,0,0
9.0,91,91,5,2,1
6.7,60,62,1,0,0
8.2,80,81,3,1,1
7.4,68,72,2,1,1
6.1,51,55,0,0,0
8.9,89,90,4,2,1
7.7,76,78,3,1,1
6.4,56,60,1,0,0
8.3,84,83,3,1,1
7.1,67,69,2,0,1
5.6,46,50,0,0,0
9.2,95,94,5,2,1
